Ticker,Price,Market Cap,Date
BTC,771.40,9403308442.61,01/01/2014
LTC,24.62,602481995.28,01/01/2014
XRP,0.02694,210649025.37,01/01/2014
PPC,5.74,120494320.26,01/01/2014
OMNI,156.20,96761998.54,01/01/2014
NXT,0.07019,70191087.64,01/01/2014
NMC,5.63,43064148.55,01/01/2014
QRK,0.1134,28006973.73,01/01/2014
PTS,20.14,25014512.83,01/01/2014
MEC,0.8501,18310273.78,01/01/2014
WDC,0.477,18186385.50,01/01/2014
XPM,3.35,12807620.47,01/01/2014
FTC,0.3548,10048259.60,01/01/2014
IFC,0.0001017,9087078.44,01/01/2014
DOGE,0.0004397,8335004.87,01/01/2014
NVC,14.04,7610850.48,01/01/2014
ZET,0.04011,6391553.80,01/01/2014
NET,0.02981,5722980.86,01/01/2014
DVC,0.0008023,4818847.02,01/01/2014
TIX,0.0000692,4628067.05,01/01/2014
DGC,0.2854,3399476.86,01/01/2014
ANC,4.64,2926291.65,01/01/2014
FRC,0.07945,2782984.69,01/01/2014
TRC,0.5014,2403313.32,01/01/2014
CLR,0.4094,2268005.20,01/01/2014
IXC,0.1265,2201438.57,01/01/2014
EAC,0.004019,2178731.78,01/01/2014
CBX,1.99,1845066.64,01/01/2014
BQC,0.05392,1601349.72,01/01/2014
GLC,0.05444,1586168.81,01/01/2014
MMC,0.5939,1128278.45,01/01/2014
ASC,0.002905,1092337.00,01/01/2014
FST,0.02212,1082199.35,01/01/2014
LOT,0.0003626,962173.01,01/01/2014
SXC,0.01889,940887.74,01/01/2014
DEM,0.288,849893.06,01/01/2014
MNC,0.5056,758804.58,01/01/2014
UNO,6.48,747799.96,01/01/2014
SBC,0.08008,731618.47,01/01/2014
YAC,0.05164,705970.20,01/01/2014
I0C,0.03506,703575.05,01/01/2014
DTC,0.4097,678476.14,01/01/2014
FLO,0.01819,662482.31,01/01/2014
JKC,0.06636,652599.59,01/01/2014
CAT,0.6433,651228.63,01/01/2014
GDC,0.002075,579103.20,01/01/2014
TAG,0.7517,460651.14,01/01/2014
TGC,0.01821,429745.02,01/01/2014
BTB,42.77,378682.17,01/01/2014
EZC,0.02844,367970.94,01/01/2014
BET,0.0756,359877.28,01/01/2014
DMD,1.67,336983.00,01/01/2014
BTE,0.1843,336828.99,01/01/2014
GLC,0.01297,336800.55,01/01/2014
LKY,0.02879,299016.41,01/01/2014
PHS,0.1805,282443.10,01/01/2014
CSC,0.03704,274992.44,01/01/2014
GME,0.002032,230985.19,01/01/2014
PXC,0.02748,216651.39,01/01/2014
FRK,2.34,214838.21,01/01/2014
ORB,0.1766,191260.39,01/01/2014
ARG,0.3393,178889.28,01/01/2014
HBN,0.05852,137244.70,01/01/2014
NRB,0.06615,135964.97,01/01/2014
XJO,0.04484,133568.07,01/01/2014
SPT,0.03162,114550.98,01/01/2014
TIPS,0.000004005,111949.04,01/01/2014
CRC,0.4132,109674.22,01/01/2014
ELC,0.9257,91760.91,01/01/2014
BTC,832.58,10275203022.91,01/02/2014
LTC,22.47,569696731.75,01/02/2014
XRP,0.0207,161815321.65,01/02/2014
PPC,5.97,125985934.51,01/02/2014
NXT,0.06644,66439750.10,01/02/2014
DOGE,0.001457,59979965.24,01/02/2014
OMNI,77.85,48226607.12,01/02/2014
NMC,5.63,44589412.41,01/02/2014
QRK,0.1082,26787182.30,01/02/2014
PTS,12.86,18124420.89,01/02/2014
MEC,0.6338,13935092.33,01/02/2014
WDC,0.3225,13802401.69,01/02/2014
XPM,3.12,13295448.07,01/02/2014
IFC,0.0001115,10031910.14,01/02/2014
FTC,0.2997,9552282.27,01/02/2014
NVC,13.10,7599623.20,01/02/2014
TIX,0.00006106,4083552.56,01/02/2014
YBC,4.06,4009877.83,01/02/2014
DVC,0.0005583,3467379.88,01/02/2014
DGC,0.2665,3432699.32,01/02/2014
ZET,0.02086,3336066.98,01/02/2014
NET,0.01186,2563571.25,01/02/2014
ANC,3.44,2425670.30,01/02/2014
MEOW,0.0004038,2262120.88,01/02/2014
CLR,0.3289,2003616.74,01/02/2014
MOON,0.00007214,1918730.01,01/02/2014
IXC,0.1059,1903922.53,01/02/2014
EAC,0.001682,1831286.97,01/02/2014
FRC,0.04829,1768058.21,01/02/2014
TRC,0.3247,1645257.08,01/02/2014
PRT,0.001922,1340685.73,01/02/2014
TIPS,0.00001065,1322200.13,01/02/2014
SRC,0.9978,1130791.31,01/02/2014
LOT,0.0001915,1098462.20,01/02/2014
TAG,1.34,1039456.10,01/02/2014
COL,0.00000326,1019310.86,01/02/2014
CBX,0.9891,928912.94,01/02/2014
BQC,0.02743,860564.21,01/02/2014
GLC,0.02807,830352.84,01/02/2014
EXC,0.2143,741642.22,01/02/2014
MMC,0.1858,659278.92,01/02/2014
BTB,63.55,603971.88,01/02/2014
UNO,4.07,584366.56,01/02/2014
VTC,0.417,574103.36,01/02/2014
FZ,0.1052,565103.77,01/02/2014
FST,0.009508,532784.10,01/02/2014
CAT,0.4621,494171.81,01/02/2014
ASC,0.001145,481999.25,01/02/2014
RED,0.01435,472309.81,01/02/2014
VEL,0.01052,471966.51,01/02/2014
FLO,0.01077,431294.04,01/02/2014
I0C,0.02065,416199.67,01/02/2014
SBC,0.03736,377147.43,01/02/2014
DEM,0.09065,367527.61,01/02/2014
DTC,0.2413,365660.86,01/02/2014
JKC,0.03472,355157.95,01/02/2014
FRK,3.33,349039.83,01/02/2014
GDC,0.0009741,319723.24,01/02/2014
DIME,0.000002934,314452.68,01/02/2014
RPC,15.07,277019.00,01/02/2014
42,243862.69,270036.40,01/02/2014
BCX,0.03227,252906.29,01/02/2014
BTE,0.1332,252885.06,01/02/2014
PHS,0.1478,249202.82,01/02/2014
QQC,0.01471,223352.80,01/02/2014
GRA,0.0002797,221729.39,01/02/2014
BET,0.03497,219793.15,01/02/2014
ARG,0.2966,213720.42,01/02/2014
GLC,0.007435,213463.80,01/02/2014
LKY,0.01583,193045.26,01/02/2014
HBN,0.06661,186003.42,01/02/2014
TGC,0.007019,182411.50,01/02/2014
DMD,0.6861,168803.90,01/02/2014
CSC,0.01611,166995.41,01/02/2014
ETOK,0.6819,162177.42,01/02/2014
XIV,0.0004721,140531.36,01/02/2014
BTG,5.52,136966.33,01/02/2014
PXC,0.0139,130213.16,01/02/2014
ELC,0.5802,122879.67,01/02/2014
NRB,0.04662,100020.70,01/02/2014
ASR,10.32,97344.92,01/02/2014
XJO,0.02157,85537.88,01/02/2014
CRC,0.2414,75541.41,01/02/2014
BTC,565.61,7049084125.44,01/03/2014
LTC,13.65,356989733.29,01/03/2014
AUR,15.73,166606057.75,01/03/2014
XRP,0.0138,107881540.93,01/03/2014
PPC,3.29,69789301.41,01/03/2014
DOGE,0.001057,58696933.28,01/03/2014
NXT,0.04572,45722673.27,01/03/2014
OMNI,51.95,32182674.22,01/03/2014
NMC,3.38,27554219.32,01/03/2014
XCP,4.75,12584472.93,01/03/2014
PTS,7.64,11873388.53,01/03/2014
QRK,0.04665,11552204.46,01/03/2014
FTC,0.2257,7895149.96,01/03/2014
MEC,0.3177,7113252.79,01/03/2014
XPM,1.48,6826620.45,01/03/2014
IFC,0.00007056,6370440.57,01/03/2014
NVC,7.58,5461163.74,01/03/2014
WDC,0.1013,4731530.83,01/03/2014
VTC,1.69,3732472.04,01/03/2014
DASH,0.9373,3303524.56,01/03/2014
YBC,2.62,2936167.54,01/03/2014
MINT,0.000137,2488745.09,01/03/2014
MAX,0.3802,2427784.04,01/03/2014
DVC,0.0003047,1948729.74,01/03/2014
TIX,0.00002667,1783447.04,01/03/2014
ZET,0.00895,1433458.82,01/03/2014
IXC,0.07055,1300129.30,01/03/2014
DGC,0.09401,1288590.86,01/03/2014
APC,0.0737,1109716.37,01/03/2014
NET,0.004937,1105730.74,01/03/2014
TIPS,0.000006463,1069210.49,01/03/2014
CLR,0.1582,1042621.86,01/03/2014
ANC,1.35,1038844.69,01/03/2014
UNO,5.93,939229.16,01/03/2014
CACH,3.64,849587.37,01/03/2014
MNC,0.4665,757263.70,01/03/2014
PRT,0.001042,718269.23,01/03/2014
BIL,0.0001176,611156.66,01/03/2014
COL,0.000001921,600921.14,01/03/2014
RDD,0.00004525,582897.75,01/03/2014
SRC,0.4367,579165.23,01/03/2014
HUC,0.633,519215.67,01/03/2014
MAZA,0.006222,507038.24,01/03/2014
TAG,0.5272,503408.15,01/03/2014
MMC,0.1013,484444.64,01/03/2014
UTC,0.08013,480215.88,01/03/2014
MOON,0.00001784,478203.17,01/03/2014
MEOW,0.00006814,464851.11,01/03/2014
KARMA,0.00001697,459513.01,01/03/2014
SXC,0.007339,456036.68,01/03/2014
GRCX,0.03609,453035.33,01/03/2014
BLK,0.005803,432168.13,01/03/2014
BTB,41.24,415784.32,01/03/2014
EXC,0.1188,412525.21,01/03/2014
EAC,0.0002443,384969.38,01/03/2014
LOT,0.00004527,377423.95,01/03/2014
LEAF,0.00002828,375190.42,01/03/2014
GLC,0.01152,345410.50,01/03/2014
CAT,0.2738,339069.57,01/03/2014
HBN,0.09726,313115.24,01/03/2014
TOP,0.00002651,305302.45,01/03/2014
FLO,0.006996,289471.13,01/03/2014
I0C,0.01423,287991.74,01/03/2014
CBX,0.2909,274650.23,01/03/2014
DGB,0.0003937,265011.90,01/03/2014
DIME,0.000002058,263683.02,01/03/2014
FZ,0.04317,260748.55,01/03/2014
YAC,0.01462,256596.74,01/03/2014
FST,0.004064,249796.55,01/03/2014
RIC,0.4452,247935.81,01/03/2014
PMC,0.4848,241890.52,01/03/2014
PHS,0.13,230622.51,01/03/2014
TAK,0.00315,229297.95,01/03/2014
RED,0.005999,218762.84,01/03/2014
FLAP,0.00001697,202340.35,01/03/2014
DEM,0.03855,194675.55,01/03/2014
CTM,0.000005656,193001.74,01/03/2014
PND,0.00001697,181300.83,01/03/2014
PTC,0.01408,178596.80,01/03/2014
KDC,0.02741,176269.45,01/03/2014
CORG,0.000007879,171621.09,01/03/2014
DTC,0.09951,170511.44,01/03/2014
NOBL,0.0002388,161960.43,01/03/2014
ASC,0.0003094,136942.13,01/03/2014
PANDA,0.00001669,131870.02,01/03/2014
JKC,0.01261,129131.53,01/03/2014
ICN,0.01499,120866.34,01/03/2014
42,70592.40,115680.73,01/03/2014
FRK,0.9174,114419.17,01/03/2014
BTE,0.05598,114262.36,01/03/2014
TEA,0.002813,112270.38,01/03/2014
Q2C,0.0005643,110149.95,01/03/2014
CON,0.01485,108040.41,01/03/2014
VEL,0.002257,104903.95,01/03/2014
NYAN,0.003655,100782.95,01/03/2014
ELC,0.3965,100701.10,01/03/2014
USDE,0.0002658,97381.79,01/03/2014
DMD,0.317,90697.75,01/03/2014
LKY,0.007012,90449.22,01/03/2014
QQC,0.004925,86523.58,01/03/2014
BLC,0.04779,84000.77,01/03/2014
RPC,2.82,80427.03,01/03/2014
GLC,0.002262,78534.32,01/03/2014
BTG,3.00,75533.13,01/03/2014
DUCK,2590.49,75514.43,01/03/2014
BET,0.009391,72674.25,01/03/2014
SBC,0.006647,72423.70,01/03/2014
BCX,0.00816,71052.27,01/03/2014
XJO,0.01335,64995.03,01/03/2014
PENG,0.00001698,64186.46,01/03/2014
ARG,0.06791,62623.27,01/03/2014
CSC,0.004943,61514.01,01/03/2014
SMC,0.01249,60613.34,01/03/2014
ANI,0.00006787,58942.28,01/03/2014
PXC,0.005357,56571.35,01/03/2014
MARS,0.0141,55405.29,01/03/2014
ORO,0.05085,51565.30,01/03/2014
XIV,0.00009459,43233.64,01/03/2014
VOLT,0.00001131,42205.05,01/03/2014
CASH,0.03399,40637.00,01/03/2014
TES,0.001284,37254.46,01/03/2014
DOPE,0.003139,36283.66,01/03/2014
GRA,0.00003637,34602.48,01/03/2014
BEN,0.01391,33221.68,01/03/2014
CGA,1.87,32794.63,01/03/2014
CRC,0.08089,30698.41,01/03/2014
NRB,0.01323,28996.68,01/03/2014
PXL,0.05668,28885.48,01/03/2014
66,4638.00,27605.05,01/03/2014
PRC,0.1023,25697.29,01/03/2014
ZTC,0.008428,24864.89,01/03/2014
ETOK,0.09237,23703.87,01/03/2014
ASR,1.33,23136.96,01/03/2014
PAND,0.005148,16365.61,01/03/2014
ARI,0.0004319,12019.53,01/03/2014
UFO,0.00003394,10007.73,01/03/2014
BTC,478.37,6023349256.85,01/04/2014
LTC,13.13,355878402.57,01/04/2014
XRP,0.008757,68458143.54,01/04/2014
PPC,2.06,43731555.64,01/04/2014
DOGE,0.000537,35541906.91,01/04/2014
AUR,3.09,32960252.91,01/04/2014
NXT,0.03002,30022074.62,01/04/2014
OMNI,34.38,21295097.40,01/04/2014
NMC,2.35,19763972.50,01/04/2014
PTS,6.14,9662160.21,01/04/2014
MTC,1.18,8540112.83,01/04/2014
XCP,2.17,5753085.39,01/04/2014
QRK,0.02041,5055525.56,01/04/2014
FTC,0.1282,4916055.90,01/04/2014
XPM,0.8458,4264788.07,01/04/2014
NVC,5.39,4065633.33,01/04/2014
XSV,0.2198,3862370.95,01/04/2014
VTC,1.15,3569110.43,01/04/2014
DASH,0.7241,2815060.81,01/04/2014
IFC,0.00002809,2540987.14,01/04/2014
BTL,0.001006,2520150.55,01/04/2014
BLK,0.03113,2318760.46,01/04/2014
MEC,0.09344,2133260.76,01/04/2014
WDC,0.03803,1921178.95,01/04/2014
MINT,0.00008922,1672639.32,01/04/2014
MAX,0.1077,1604855.34,01/04/2014
SPA,0.05465,1441055.46,01/04/2014
EFL,0.1109,1298675.98,01/04/2014
YBC,0.9524,1209050.48,01/04/2014
PTC,0.04744,950390.85,01/04/2014
ZET,0.005719,916649.69,01/04/2014
DVC,0.0001239,818033.08,01/04/2014
CLR,0.1065,761372.32,01/04/2014
