Ticker,Price,Market Cap,Date,Stablecoin
BTC,771.4,9403308442.61,01/01/2014,False
LTC,24.62,602481995.28,01/01/2014,False
XRP,0.02694,210649025.37,01/01/2014,False
PPC,5.74,120494320.26,01/01/2014,False
OMNI,156.2,96761998.54,01/01/2014,False
NXT,0.07019,70191087.64,01/01/2014,False
NMC,5.63,43064148.55,01/01/2014,False
QRK,0.1134,28006973.73,01/01/2014,False
PTS,20.14,25014512.83,01/01/2014,False
MEC,0.8501,18310273.78,01/01/2014,False
WDC,0.477,18186385.5,01/01/2014,False
XPM,3.35,12807620.47,01/01/2014,False
FTC,0.3548,10048259.6,01/01/2014,False
IFC,0.0001017,9087078.44,01/01/2014,False
DOGE,0.0004397,8335004.87,01/01/2014,False
NVC,14.04,7610850.48,01/01/2014,False
ZET,0.04011,6391553.8,01/01/2014,False
NET,0.02981,5722980.86,01/01/2014,False
DVC,0.0008023,4818847.02,01/01/2014,False
TIX,6.92e-05,4628067.05,01/01/2014,False
DGC,0.2854,3399476.86,01/01/2014,False
ANC,4.64,2926291.65,01/01/2014,False
FRC,0.07945,2782984.69,01/01/2014,False
TRC,0.5014,2403313.32,01/01/2014,False
CLR,0.4094,2268005.2,01/01/2014,False
IXC,0.1265,2201438.57,01/01/2014,False
EAC,0.004019,2178731.78,01/01/2014,False
CBX,1.99,1845066.64,01/01/2014,False
BQC,0.05392,1601349.72,01/01/2014,False
GLC,0.05444,1586168.81,01/01/2014,False
MMC,0.5939,1128278.45,01/01/2014,False
ASC,0.002905,1092337.0,01/01/2014,False
FST,0.02212,1082199.35,01/01/2014,False
LOT,0.0003626,962173.01,01/01/2014,False
SXC,0.01889,940887.74,01/01/2014,False
DEM,0.288,849893.06,01/01/2014,False
MNC,0.5056,758804.58,01/01/2014,False
UNO,6.48,747799.96,01/01/2014,False
SBC,0.08008,731618.47,01/01/2014,False
YAC,0.05164,705970.2,01/01/2014,False
I0C,0.03506,703575.05,01/01/2014,False
DTC,0.4097,678476.14,01/01/2014,False
FLO,0.01819,662482.31,01/01/2014,False
JKC,0.06636,652599.59,01/01/2014,False
CAT,0.6433,651228.63,01/01/2014,False
GDC,0.002075,579103.2,01/01/2014,False
TAG,0.7517,460651.14,01/01/2014,False
TGC,0.01821,429745.02,01/01/2014,False
BTB,42.77,378682.17,01/01/2014,False
EZC,0.02844,367970.94,01/01/2014,False
BET,0.0756,359877.28,01/01/2014,False
DMD,1.67,336983.0,01/01/2014,False
BTE,0.1843,336828.99,01/01/2014,False
GLC,0.01297,336800.55,01/01/2014,False
LKY,0.02879,299016.41,01/01/2014,False
PHS,0.1805,282443.1,01/01/2014,False
CSC,0.03704,274992.44,01/01/2014,False
GME,0.002032,230985.19,01/01/2014,False
PXC,0.02748,216651.39,01/01/2014,False
FRK,2.34,214838.21,01/01/2014,False
ORB,0.1766,191260.39,01/01/2014,False
ARG,0.3393,178889.28,01/01/2014,False
HBN,0.05852,137244.7,01/01/2014,False
NRB,0.06615,135964.97,01/01/2014,False
XJO,0.04484,133568.07,01/01/2014,False
SPT,0.03162,114550.98,01/01/2014,False
TIPS,4.005e-06,111949.04,01/01/2014,False
CRC,0.4132,109674.22,01/01/2014,False
ELC,0.9257,91760.91,01/01/2014,False
BTC,832.58,10275203022.91,01/02/2014,False
LTC,22.47,569696731.75,01/02/2014,False
XRP,0.0207,161815321.65,01/02/2014,False
PPC,5.97,125985934.51,01/02/2014,False
NXT,0.06644,66439750.1,01/02/2014,False
DOGE,0.001457,59979965.24,01/02/2014,False
OMNI,77.85,48226607.12,01/02/2014,False
NMC,5.63,44589412.41,01/02/2014,False
QRK,0.1082,26787182.3,01/02/2014,False
PTS,12.86,18124420.89,01/02/2014,False
MEC,0.6338,13935092.33,01/02/2014,False
WDC,0.3225,13802401.69,01/02/2014,False
XPM,3.12,13295448.07,01/02/2014,False
IFC,0.0001115,10031910.14,01/02/2014,False
FTC,0.2997,9552282.27,01/02/2014,False
NVC,13.1,7599623.2,01/02/2014,False
TIX,6.106e-05,4083552.56,01/02/2014,False
YBC,4.06,4009877.83,01/02/2014,False
DVC,0.0005583,3467379.88,01/02/2014,False
DGC,0.2665,3432699.32,01/02/2014,False
ZET,0.02086,3336066.98,01/02/2014,False
NET,0.01186,2563571.25,01/02/2014,False
ANC,3.44,2425670.3,01/02/2014,False
MEOW,0.0004038,2262120.88,01/02/2014,False
CLR,0.3289,2003616.74,01/02/2014,False
MOON,7.214e-05,1918730.01,01/02/2014,False
IXC,0.1059,1903922.53,01/02/2014,False
EAC,0.001682,1831286.97,01/02/2014,False
FRC,0.04829,1768058.21,01/02/2014,False
TRC,0.3247,1645257.08,01/02/2014,False
PRT,0.001922,1340685.73,01/02/2014,False
TIPS,1.065e-05,1322200.13,01/02/2014,False
SRC,0.9978,1130791.31,01/02/2014,False
LOT,0.0001915,1098462.2,01/02/2014,False
TAG,1.34,1039456.1,01/02/2014,False
COL,3.26e-06,1019310.86,01/02/2014,False
CBX,0.9891,928912.94,01/02/2014,False
BQC,0.02743,860564.21,01/02/2014,False
GLC,0.02807,830352.84,01/02/2014,False
EXC,0.2143,741642.22,01/02/2014,False
MMC,0.1858,659278.92,01/02/2014,False
BTB,63.55,603971.88,01/02/2014,False
UNO,4.07,584366.56,01/02/2014,False
VTC,0.417,574103.36,01/02/2014,False
FZ,0.1052,565103.77,01/02/2014,False
FST,0.009508,532784.1,01/02/2014,False
CAT,0.4621,494171.81,01/02/2014,False
ASC,0.001145,481999.25,01/02/2014,False
RED,0.01435,472309.81,01/02/2014,False
VEL,0.01052,471966.51,01/02/2014,False
FLO,0.01077,431294.04,01/02/2014,False
I0C,0.02065,416199.67,01/02/2014,False
SBC,0.03736,377147.43,01/02/2014,False
DEM,0.09065,367527.61,01/02/2014,False
DTC,0.2413,365660.86,01/02/2014,False
JKC,0.03472,355157.95,01/02/2014,False
FRK,3.33,349039.83,01/02/2014,False
GDC,0.0009741,319723.24,01/02/2014,False
DIME,2.934e-06,314452.68,01/02/2014,False
RPC,15.07,277019.0,01/02/2014,False
42,243862.69,270036.4,01/02/2014,False
BCX,0.03227,252906.29,01/02/2014,False
BTE,0.1332,252885.06,01/02/2014,False
PHS,0.1478,249202.82,01/02/2014,False
QQC,0.01471,223352.8,01/02/2014,False
GRA,0.0002797,221729.39,01/02/2014,False
BET,0.03497,219793.15,01/02/2014,False
ARG,0.2966,213720.42,01/02/2014,False
GLC,0.007435,213463.8,01/02/2014,False
LKY,0.01583,193045.26,01/02/2014,False
HBN,0.06661,186003.42,01/02/2014,False
TGC,0.007019,182411.5,01/02/2014,False
DMD,0.6861,168803.9,01/02/2014,False
CSC,0.01611,166995.41,01/02/2014,False
ETOK,0.6819,162177.42,01/02/2014,False
XIV,0.0004721,140531.36,01/02/2014,False
BTG,5.52,136966.33,01/02/2014,False
PXC,0.0139,130213.16,01/02/2014,False
ELC,0.5802,122879.67,01/02/2014,False
NRB,0.04662,100020.7,01/02/2014,False
ASR,10.32,97344.92,01/02/2014,False
XJO,0.02157,85537.88,01/02/2014,False
CRC,0.2414,75541.41,01/02/2014,False
BTC,565.61,7049084125.44,01/03/2014,False
